sub	run	HighLarge	HighSmall	LowLarge	LowSmall	OfficeLarge	OfficeSmall
049	3.0	7.0	5.0	5.0	8.0	8.0	9.0
049	4.0	6.0	9.0	9.0	8.0	9.0	8.0
049	5.0	6.0	6.0	9.0	7.0	9.0	9.0
037	1.0	9.0	9.0	9.0	9.0	9.0	9.0
037	2.0	9.0	9.0	9.0	9.0	8.0	9.0
037	3.0	9.0	9.0	9.0	9.0	9.0	9.0
037	4.0	9.0	9.0	9.0	9.0	9.0	9.0
037	5.0	9.0	9.0	5.0	9.0	9.0	9.0
003	1.0	9.0	9.0	9.0	9.0	9.0	9.0
003	2.0	9.0	9.0	9.0	9.0	9.0	8.0
003	3.0	7.0	9.0	9.0	8.0	9.0	9.0
003	4.0	6.0	9.0	9.0	7.0	9.0	9.0
003	5.0	9.0	9.0	7.0	6.0	9.0	9.0
054	1.0	9.0	9.0	9.0	9.0	8.0	9.0
054	2.0	9.0	9.0	9.0	9.0	9.0	9.0
054	3.0	9.0	8.0	5.0	8.0	9.0	9.0
054	4.0	6.0	9.0	9.0	7.0	9.0	9.0
054	5.0	7.0	8.0	9.0	9.0	9.0	7.0
047	1.0	9.0	9.0	9.0	8.0	6.0	8.0
047	2.0	9.0	9.0	7.0	7.0	9.0	9.0
047	3.0	9.0	9.0	9.0	8.0	8.0	8.0
047	4.0	9.0	9.0	9.0	5.0	9.0	9.0
047	5.0	9.0	9.0	9.0	9.0	9.0	9.0
130	1.0	9.0	8.0	8.0	1.0	4.0	5.0
130	2.0	5.0	3.0	0.0	1.0	0.0	1.0
130	3.0	3.0	8.0	4.0	4.0	6.0	2.0
130	4.0	1.0	1.0	7.0	0.0	0.0	3.0
121	1.0	9.0	9.0	9.0	9.0	9.0	9.0
121	2.0	9.0	9.0	9.0	9.0	9.0	9.0
121	3.0	9.0	9.0	9.0	9.0	9.0	9.0
121	4.0	9.0	9.0	9.0	9.0	9.0	9.0
121	5.0	9.0	9.0	9.0	9.0	9.0	9.0
109	1.0	9.0	9.0	9.0	9.0	9.0	9.0
109	2.0	9.0	7.0	5.0	9.0	9.0	9.0
109	3.0	9.0	7.0	9.0	9.0	9.0	8.0
109	4.0	9.0	9.0	9.0	9.0	9.0	9.0
109	5.0	9.0	9.0	9.0	9.0	9.0	9.0
036	1.0	9.0	9.0	9.0	9.0	9.0	9.0
036	2.0	9.0	9.0	9.0	9.0	9.0	9.0
036	3.0	9.0	9.0	9.0	9.0	9.0	9.0
036	4.0	9.0	9.0	9.0	9.0	9.0	9.0
036	5.0	9.0	8.0	9.0	9.0	9.0	9.0
132	1.0	9.0	9.0	9.0	9.0	9.0	9.0
132	2.0	9.0	9.0	9.0	9.0	9.0	9.0
132	3.0	9.0	9.0	9.0	9.0	9.0	9.0
132	4.0	9.0	9.0	9.0	9.0	9.0	9.0
132	5.0	9.0	9.0	9.0	9.0	9.0	9.0
128	1.0	9.0	9.0	9.0	7.0	9.0	9.0
128	2.0	9.0	8.0	9.0	9.0	9.0	9.0
128	3.0	9.0	9.0	9.0	9.0	9.0	9.0
128	4.0	9.0	9.0	9.0	8.0	9.0	9.0
128	5.0	9.0	5.0	9.0	6.0	7.0	7.0
115	1.0	9.0	9.0	9.0	7.0	9.0	9.0
115	2.0	9.0	9.0	9.0	3.0	9.0	4.0
115	3.0	7.0	2.0	5.0	6.0	7.0	8.0
115	4.0	2.0	2.0	9.0	9.0	8.0	6.0
115	5.0	9.0	9.0	7.0	4.0	9.0	3.0
131	1.0	9.0	9.0	9.0	9.0	9.0	9.0
131	2.0	9.0	9.0	9.0	9.0	9.0	9.0
131	3.0	9.0	9.0	9.0	9.0	9.0	9.0
131	4.0	9.0	6.0	9.0	7.0	9.0	8.0
131	5.0	9.0	9.0	9.0	9.0	9.0	9.0
126	1.0	9.0	9.0	9.0	9.0	9.0	9.0
126	2.0	9.0	9.0	9.0	9.0	9.0	9.0
126	3.0	8.0	9.0	9.0	9.0	9.0	9.0
126	4.0	9.0	8.0	8.0	7.0	9.0	8.0
126	5.0	9.0	7.0	9.0	9.0	9.0	9.0
045	1.0	9.0	9.0	9.0	9.0	9.0	9.0
045	2.0	9.0	9.0	9.0	9.0	9.0	9.0
045	3.0	9.0	9.0	8.0	9.0	9.0	9.0
045	4.0	9.0	9.0	8.0	9.0	9.0	9.0
045	5.0	9.0	9.0	9.0	9.0	9.0	8.0
110	1.0	9.0	9.0	9.0	9.0	9.0	9.0
110	2.0	9.0	9.0	8.0	8.0	7.0	9.0
110	3.0	9.0	8.0	4.0	7.0	7.0	9.0
110	4.0	7.0	6.0	4.0	7.0	6.0	4.0
110	5.0	9.0	9.0	7.0	2.0	8.0	2.0
018	1.0	9.0	9.0	6.0	9.0	9.0	9.0
018	2.0	8.0	7.0	7.0	8.0	9.0	8.0
018	3.0	8.0	0.0	6.0	6.0	4.0	7.0
018	4.0	2.0	9.0	4.0	4.0	3.0	8.0
018	5.0	4.0	7.0	8.0	8.0	4.0	8.0
005	1.0	9.0	9.0	9.0	9.0	9.0	9.0
005	2.0	9.0	9.0	9.0	9.0	8.0	9.0
005	3.0	9.0	9.0	9.0	9.0	9.0	9.0
005	4.0	9.0	9.0	9.0	9.0	8.0	9.0
005	5.0	9.0	8.0	5.0	7.0	9.0	6.0
026	1.0	9.0	9.0	9.0	9.0	9.0	9.0
026	2.0	9.0	9.0	9.0	9.0	9.0	9.0
026	3.0	9.0	9.0	9.0	9.0	9.0	9.0
026	4.0	9.0	9.0	9.0	9.0	9.0	9.0
026	5.0	9.0	7.0	9.0	9.0	9.0	9.0
019	1.0	7.0	5.0	9.0	8.0	9.0	9.0
019	2.0	4.0	6.0	7.0	7.0	6.0	8.0
019	3.0	7.0	6.0	2.0	9.0	6.0	4.0
019	4.0	4.0	6.0	7.0	3.0	9.0	9.0
019	5.0	2.0	6.0	6.0	7.0	0.0	3.0
069	1.0	9.0	9.0	9.0	9.0	9.0	9.0
069	2.0	9.0	9.0	9.0	9.0	9.0	9.0
069	3.0	9.0	9.0	9.0	8.0	9.0	9.0
069	4.0	9.0	8.0	8.0	9.0	6.0	9.0
069	5.0	7.0	9.0	9.0	9.0	8.0	9.0
